Location Name,Latitude,Longitude
Gothenburg,11.988061,57.696378
Sandvika,10.515475,59.917992
Cancun,-86.781678,21.055194
Fulton,-91.954567,38.849922
Trondheim,10.339442,63.431842
Las Vegas,-115.168822,36.122728
Trondheim,10.250108,63.420578
Trondheim,10.122817,63.424389
Las Vegas,-115.173797,36.095469
Alesund,6.164033,62.474261
Fjord,6.919958,62.121906
Las Vegas,-115.168236,36.118022
Columbia,-92.327919,38.925597
Geiranger,7.224003,62.092756
Dalsnibba,7.269544,62.049153
Oslo,10.735847,59.906689
Kjeholmen,10.586381,59.877128
Trondheim,10.410231,63.426900
Stockholm,18.071528,59.325808
New York,-73.988664,40.750153
New York,-73.995369,40.703044
Grand Canyon,-112.144539,36.057225
Horseshoe Bend,-111.510636,36.879161
Chichen Itza,-88.569458,20.683836
Amsterdam,4.896667,52.377047
Anaheim,-117.901511,33.800136
Houston,-95.366975,29.764572
San Antonio,-98.480203,29.362347
Boston,-71.096550,42.347094
Cambridge,-71.090958,42.358014
New York,-73.973672,40.766964